Date, Odometer [km], Battery Energy Out (Operating) [kWh], Battery Energy In (Charging)[kWh], Hours Charging [h], Hours Operating [h], Hours Running [h],,,,,,,,,,,,,,,,,
2015-05-22,0.148454861,0.089419666,0,0,0.166666667,0.020277778,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Time Stamp, SOC [%], Battery Current [A], Battery Voltage [V], Battery Power Out (Operating) [kW], Battery Power In (Charging)[kW], Motor Current [AC A rms], Motor Voltage [AC V rms], Motor Controller Capacitor Voltage [V], Vehicle Speed [km/h], Motor Velocity [RPM], Current Highest Priority Fault, Traction State, Maximum Battery Discharge Current [A], Maximum Battery Charge Current [A], Motor Temperature [Celcius], Motor Controller Heatsink Temperature [Celcius], Battery Pack Highest Temperature [Celcius], Batt High Temp ID, Batter Pack Lowest Temperature [Celcius], Batt Low Temp ID, Charging, Operating, Running
13:29:53,48,1,314.02,0.31402,0,0,0,311.3125,0,0,17737,0,250,-100,29,35,0,0,0,0,0,1,0
13:29:54,48,1,314.04,0.31404,0,0,0,311.625,0,0,17737,0,250,-100,29,35,0,0,0,0,0,1,0
13:29:55,48,1,314.04,0.31404,0,0,0,311.4375,0,0,17737,0,250,-100,29,35,0,0,0,0,0,1,0
13:29:56,48,1,314.06,0.31406,0,0,0,311.625,0,0,17737,0,250,-100,30,35,0,0,0,0,0,1,0
13:29:57,48,1,314.06,0.31406,0,0,0,311.75,0,0,17737,0,250,-100,33,35,0,0,0,0,0,1,0
13:29:58,48,1,314.07,0.31407,0,0,0,311.4375,0,0,17737,0,250,-100,31,35,0,0,0,0,0,1,0
13:29:59,48,1,314.08,0.31408,0,0,0,311.3125,0,0,17737,0,250,-100,34,35,0,0,0,0,0,1,0
13:30:00,48,1,314.07,0.31407,0,0,0,312.125,0,0,17737,0,250,-100,33,35,0,0,0,0,0,1,0
13:30:01,48,1,314.1,0.3141,0,0,0,312,0,0,17737,0,250,-100,34,35,0,0,0,0,0,1,0
13:30:02,48,1,314.11,0.31411,0,0,0,310.9375,0,0,17737,0,250,-100,36,35,0,0,0,0,0,1,0
13:30:03,48,1,314.11,0.31411,0,0,0,311.875,0,0,17737,0,250,-100,33,35,0,0,0,0,0,1,0
13:30:04,48,1,314.12,0.31412,0,0,0,311.5,0,0,17737,0,250,-100,31,35,0,0,0,0,0,1,0
13:30:05,48,1,314.12,0.31412,0,0,0,311.875,0,0,17737,0,250,-100,32,35,0,0,0,0,0,1,0
13:30:06,48,1,314.13,0.31413,0,0,0,312.5,0,0,17737,0,250,-100,33,35,0,0,0,0,0,1,0
13:30:07,48,1,314.15,0.31415,0,0,0,311.875,0,0,17737,0,250,-100,31,35,0,0,0,0,0,1,0
13:30:08,48,1,314.15,0.31415,0,0,0,311.75,0,0,17737,0,250,-100,30,35,0,0,0,0,0,1,0
13:30:09,48,1,314.16,0.31416,0,0,0,310.9375,0,0,17737,0,250,-100,31,35,0,0,0,0,0,1,0
13:30:10,48,1,314.16,0.31416,0,0,0,312.375,0,0,17737,0,250,-100,30,35,0,0,0,0,0,1,0
13:30:11,48,1,314.17,0.31417,0,0,0,312.75,0,0,17737,0,250,-100,32,35,0,0,0,0,0,1,0
13:30:12,48,1,314.17,0.31417,0,0,0,312.25,0,0,17737,0,250,-100,33,35,0,0,0,0,0,1,0
13:30:13,48,1,314.18,0.31418,0,0,0,311.625,0,0,17737,0,250,-100,30,35,0,0,0,0,0,1,0
13:30:14,48,1,314.19,0.31419,0,0,0,311.5,0,0,17737,0,250,-100,33,35,0,0,0,0,0,1,0
13:30:15,48,1,314.19,0.31419,0,0,0,311.1875,0,0,17737,0,250,-100,32,35,0,0,0,0,0,1,0
13:30:16,48,1,314.19,0.31419,0,0,0,312.375,0,0,17737,0,250,-100,32,35,0,0,0,0,0,1,0
13:30:17,48,1,314.2,0.3142,0,0,0,312.25,0,0,17737,0,250,-100,31,34,0,0,0,0,0,1,0
13:30:18,48,1,314.21,0.31421,0,0,0,311.75,0,0,17737,0,250,-100,30,35,0,0,0,0,0,1,0
13:30:19,48,1,314.21,0.31421,0,0,0,312.125,0,0,17737,0,250,-100,31,34,0,0,0,0,0,1,0
13:30:20,48,1,314.22,0.31422,0,0,0,312,0,0,17737,0,250,-100,30,34,0,0,0,0,0,1,0
13:30:21,48,1,314.22,0.31422,0,0,0,311.625,0,0,17737,0,250,-100,33,34,0,0,0,0,0,1,0
13:30:22,48,1,314.22,0.31422,0,0,0,311.5,0,0,17737,0,250,-100,33,34,0,0,0,0,0,1,0
13:30:23,48,1,314.23,0.31423,0,0,0,311.875,0,0,17737,0,250,-100,34,34,0,0,0,0,0,1,0
13:30:24,48,1,314.23,0.31423,0,0,0,312.375,0,0,17737,0,250,-100,34,34,0,0,0,0,0,1,0
13:30:25,48,1,314.23,0.31423,0,0,0,312.125,0,0,17737,0,250,-100,34,34,0,0,0,0,0,1,0
13:30:26,48,1,314.23,0.31423,0,0,0,312.5,0,0,17737,0,250,-100,34,34,0,0,0,0,0,1,0
13:30:27,48,1,314.25,0.31425,0,0,0,311.875,0,0,17737,0,250,-100,33,34,0,0,0,0,0,1,0
13:30:28,48,1,314.25,0.31425,0,0,0,312.125,0,0,17737,0,250,-100,33,34,0,0,0,0,0,1,0
13:30:29,48,0.9,314.27,0.282843,0,0,0,312.125,0,0,17737,0,250,-100,34,34,0,0,0,0,0,1,0
13:30:30,48,0.9,314.27,0.282843,0,0,0,312.25,0,0,17737,0,250,-100,29,34,0,0,0,0,0,1,0
13:30:31,48,0.9,314.27,0.282843,0,0,0,312.125,0,0,17737,0,250,-100,32,34,0,0,0,0,0,1,0
13:30:32,48,0.9,314.27,0.282843,0,0,0,311.875,0,0,17737,0,250,-100,31,34,0,0,0,0,0,1,0
13:30:33,48,0.9,314.28,0.282852,0,0,0,312,0,0,17737,0,250,-100,34,34,0,0,0,0,0,1,0
13:30:34,48,0.9,314.29,0.282861,0,0,0,312.125,0,0,17737,0,250,-100,33,34,0,0,0,0,0,1,0
13:30:35,48,0.9,314.29,0.282861,0,0,0,311.75,0,0,17737,0,250,-100,33,34,0,0,0,0,0,1,0
13:30:36,48,0.9,314.29,0.282861,0,0,0,312.125,0,0,17737,0,250,-100,31,34,0,0,0,0,0,1,0
13:30:37,48,0.9,314.3,0.28287,0,0,0,311.625,0,0,17737,0,250,-100,31,34,0,0,0,0,0,1,0
13:30:38,48,0.9,314.3,0.28287,0,0,0,311.5,0,0,17737,0,250,-100,31,34,0,0,0,0,0,1,0
13:30:39,48,0.9,314.3,0.28287,0,0,0,312.25,0,0,17737,0,250,-100,35,34,0,0,0,0,0,1,0
13:30:40,48,0.9,314.3,0.28287,0,0,0,312.125,0,0,17737,0,250,-100,33,34,0,0,0,0,0,1,0
13:30:41,48,0.9,314.31,0.282879,0,0,0,311.625,0,0,17737,0,250,-100,35,34,0,0,0,0,0,1,0
13:30:42,48,0.9,314.31,0.282879,0,0,0,312.75,0,0,17737,0,250,-100,34,34,0,0,0,0,0,1,0
13:30:43,48,0.9,314.32,0.282888,0,0,0,311.4375,0,0,17737,0,250,-100,30,34,0,0,0,0,0,1,0
13:30:44,48,0.9,314.33,0.282897,0,0,0,311.625,0,0,17737,0,250,-100,33,34,0,0,0,0,0,1,0
13:30:45,48,0.9,314.32,0.282888,0,0,0,311.3125,0,0,17737,0,250,-100,34,34,0,0,0,0,0,1,0
13:30:46,48,0.9,314.32,0.282888,0,0,0,312.125,0,0,17737,0,250,-100,32,34,0,0,0,0,0,1,0
13:30:47,48,0.9,314.34,0.282906,0,0,0,312.125,0,0,17737,0,250,-100,36,34,0,0,0,0,0,1,0
13:30:48,48,0.9,314.33,0.282897,0,0,0,312.5,0,0,17737,0,250,-100,34,34,0,0,0,0,0,1,0
13:30:49,48,0.8,314.33,0.251464,0,0,0,312.125,0,0,17737,0,250,-100,34,34,0,0,0,0,0,1,0
13:30:50,48,0.9,314.34,0.282906,0,0,0,312,0,0,17737,0,250,-100,32,34,0,0,0,0,0,1,0
13:30:51,48,0.9,314.34,0.282906,0,0,0,311.5,0,0,17737,0,250,-100,34,34,0,0,0,0,0,1,0
13:30:52,48,0.9,314.34,0.282906,0,0,0,312.8125,0,0,17737,0,250,-100,32,34,0,0,0,0,0,1,0
13:30:53,48,0.9,314.35,0.282915,0,0,0,311.625,0,0,17737,0,250,-100,33,34,0,0,0,0,0,1,0
13:30:54,48,0.9,314.35,0.282915,0,0,0,312.375,0,0,17737,0,250,-100,33,34,0,0,0,0,0,1,0
13:30:55,48,0.9,314.36,0.282924,0,0,0,312.125,0,0,17737,0,250,-100,33,34,0,0,0,0,0,1,0
13:30:56,48,0.9,314.37,0.282933,0,0,0,311.4375,0,0,17737,0,250,-100,35,34,0,0,0,0,0,1,0
13:30:57,48,0.9,314.37,0.282933,0,0,0,311.75,0,0,17737,0,250,-100,34,34,0,0,0,0,0,1,0
13:30:58,48,0.9,314.37,0.282933,0,0,0,312.25,0,0,17737,0,250,-100,37,34,0,0,0,0,0,1,0
13:30:59,48,0.9,314.36,0.282924,0,0,0,312.25,0,0,17737,0,250,-100,35,34,0,0,0,0,0,1,0
13:31:00,48,0.9,314.36,0.282924,0,0,0,312.375,0,0,17737,0,250,-100,36,34,0,0,0,0,0,1,0
13:31:01,48,0.9,314.37,0.282933,0,0,0,312.75,0,0,17737,0,250,-100,35,34,0,0,0,0,0,1,0
13:31:02,48,0.9,314.36,0.282924,0,0,0,312.125,0,0,17737,0,250,-100,33,34,0,0,0,0,0,1,0
13:31:03,48,0.9,314.37,0.282933,0,0,0,312.5,0,0,17737,0,250,-100,34,34,0,0,0,0,0,1,0
13:31:04,48,0.9,314.38,0.282942,0,0,0,311.875,0,0,17737,0,250,-100,34,34,0,0,0,0,0,1,0
13:31:05,48,0.9,314.37,0.282933,0,0,0,311.4375,0,0,17737,0,250,-100,34,34,0,0,0,0,0,1,0
13:31:06,48,0.9,314.38,0.282942,0,0,0,311.625,0,0,17737,0,250,-100,34,34,0,0,0,0,0,1,0
13:31:07,48,0.9,314.39,0.282951,0,0,0,311.4375,0,0,17737,0,250,-100,33,34,0,0,0,0,0,1,0
13:31:08,48,0.9,314.39,0.282951,0,0,0,312.25,0,0,17737,0,250,-100,32,34,0,0,0,0,0,1,0
13:31:09,48,0.9,314.4,0.28296,0,0,0,312.5,0,0,17737,0,250,-100,32,34,0,0,0,0,0,1,0
13:31:10,48,0.9,314.4,0.28296,0,0,0,311.75,0,0,17737,0,250,-100,35,34,0,0,0,0,0,1,0
13:31:11,48,0.9,314.41,0.282969,0,0,0,311.625,0,0,17737,0,250,-100,33,34,0,0,0,0,0,1,0
13:31:12,48,0.8,314.4,0.25152,0,0,0,312.5,0,0,17737,0,250,-100,34,34,0,0,0,0,0,1,0
13:31:13,48,0.9,314.4,0.28296,0,0,0,312.5,0,0,17737,0,250,-100,36,34,0,0,0,0,0,1,0
13:31:14,48,0.9,314.4,0.28296,0,0,0,311.4375,0,0,17737,0,250,-100,37,34,0,0,0,0,0,1,0
13:31:15,48,0.9,314.41,0.282969,0,0,0,312.25,0,0,17737,0,250,-100,34,34,0,0,0,0,0,1,0
13:31:16,48,0.9,314.41,0.282969,0,0,0,312.5,0,0,17737,0,250,-100,31,34,0,0,0,0,0,1,0
13:31:17,48,0.9,314.41,0.282969,0,0,0,312.25,0,0,17737,0,250,-100,31,34,0,0,0,0,0,1,0
13:31:18,48,0.9,314.41,0.282969,0,0,0,311.875,0,0,17737,0,250,-100,30,34,0,0,0,0,0,1,0
13:31:19,48,0.9,314.41,0.282969,0,0,0,310.9375,0,0,17737,0,250,-100,33,34,0,0,0,0,0,1,0
13:31:20,48,0.9,314.42,0.282978,0,0,0,312,0,0,17737,0,250,-100,33,34,0,0,0,0,0,1,0
13:31:21,48,0.9,314.42,0.282978,0,0,0,312.25,0,0,17737,0,250,-100,31,34,0,0,0,0,0,1,0
13:31:22,48,0.9,314.42,0.282978,0,0,0,312.25,0,0,17737,0,250,-100,30,34,0,0,0,0,0,1,0
13:31:23,48,0.9,314.42,0.282978,0,0,0,311.75,0,0,17737,0,250,-100,28,34,0,0,0,0,0,1,0
13:31:24,48,0.8,314.42,0.251536,0,0,0,311.75,0,0,17737,0,250,-100,31,34,0,0,0,0,0,1,0
13:31:25,48,0.9,314.43,0.282987,0,0,0,312,0,0,17737,0,250,-100,30,34,0,0,0,0,0,1,0
13:31:26,48,0.9,314.43,0.282987,0,0,0,312.8125,0,0,17737,0,250,-100,33,34,0,0,0,0,0,1,0
13:31:27,48,0.9,314.43,0.282987,0,0,0,311.875,0,0,17737,0,250,-100,33,34,0,0,0,0,0,1,0
13:31:28,48,0.9,314.43,0.282987,0,0,0,311.625,0,0,17737,0,250,-100,32,34,0,0,0,0,0,1,0
13:31:29,48,0.9,314.43,0.282987,0,0,0,311.75,0,0,17737,0,250,-100,32,34,0,0,0,0,0,1,0
13:31:30,48,0.9,314.43,0.282987,0,0,0,312,0,0,17737,0,250,-100,30,34,0,0,0,0,0,1,0
13:31:31,48,0.9,314.44,0.282996,0,0,0,312,0,0,17737,0,250,-100,29,34,0,0,0,0,0,1,0
13:31:32,48,0.9,314.44,0.282996,0,0,0,312.25,0,0,17737,0,250,-100,32,34,0,0,0,0,0,1,0
13:31:33,48,0.9,314.45,0.283005,0,0,0,312.375,0,0,17737,0,250,-100,32,34,0,0,0,0,0,1,0
13:31:34,48,0.8,314.45,0.25156,0,0,0,311.5,0,0,17737,0,250,-100,32,34,0,0,0,0,0,1,0
13:31:35,48,0.9,314.44,0.282996,0,0,0,311.875,0,0,17737,0,250,-100,34,34,0,0,0,0,0,1,0
13:31:36,48,0.9,314.45,0.283005,0,0,0,311.75,0,0,17737,0,250,-100,32,34,0,0,0,0,0,1,0
13:31:37,48,0.9,314.46,0.283014,0,0,0,312.125,0,0,17737,0,250,-100,34,34,0,0,0,0,0,1,0
13:31:38,48,0.9,314.46,0.283014,0,0,0,312.25,0,0,17737,0,250,-100,35,33,0,0,0,0,0,1,0
